pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,0,,,,,0.01745759998448193,,0.009833399904891849,0.01745759998448193,1.0112745999358594,1.0112745999358594,1.0112745999358594,1.0112745999358594,1.0278958000708371,2.011159999994561,2.011159999994561,3.4317010999657214,x,1,1.3279952998273075,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
150,v,0,1,1,1,,,,,3.4385333999525756,,3.434089799877256,3.4385333999525756,4.444354699924588,4.444354699924588,4.444354699924588,4.444354699924588,4.444354699924588,5.444251399952918,5.444251399952918,6.878572100074962,v,1,1.4206218998879194,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
50,corr_resp,0,2,2,2,,,,,6.894333699950948,,6.879664399893954,6.894333699950948,7.8943735000211746,7.8943735000211746,7.8943735000211746,7.8943735000211746,7.8943735000211746,8.89415939990431,8.89415939990431,9.478772500064224,c,0,0.5736899001058191,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-150,z,0,3,3,3,,,,,9.494480199879035,,9.479961300035939,9.494480199879035,10.494348299922422,10.494348299922422,10.494348299922422,10.494348299922422,10.494348299922422,11.49435789999552,11.49435789999552,11.995335799874738,z,1,0.4947068998590112,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-50,x,1,0,4,0,,,,,12.010904500028118,,11.996507700067014,12.010904500028118,13.01099759992212,13.01099759992212,13.01099759992212,13.01099759992212,13.01099759992212,14.010901799891144,14.010901799891144,14.662594299996272,x,1,0.648958999896422,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
150,v,1,1,5,1,,,,,14.677278500050306,,14.664313100045547,14.677278500050306,15.677618999965489,15.677618999965489,15.677618999965489,15.677618999965489,15.677618999965489,16.67724659992382,16.67724659992382,17.095169099979103,v,1,0.40780639997683465,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
50,corr_resp,1,2,6,2,,,,,17.1109368999023,,17.09634710010141,17.1109368999023,18.110822699964046,18.110822699964046,18.110822699964046,18.110822699964046,18.110822699964046,19.110710500041023,19.110710500041023,19.461777299875394,c,0,0.3483452999498695,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-150,z,1,3,7,3,,,,,19.47736410005018,,19.462903999956325,19.47736410005018,20.477325899992138,20.477325899992138,20.477325899992138,20.477325899992138,20.477325899992138,21.477169699966908,21.477169699966908,22.0956298999954,z,1,0.607193399919197,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-50,x,2,0,8,0,,,,,22.11057860008441,,22.096984599949792,22.11057860008441,23.110656100092456,23.110656100092456,23.110656100092456,23.110656100092456,23.110656100092456,24.110476099886,24.110476099886,24.59499210002832,x,1,0.46911170007660985,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
150,v,2,1,9,1,,,,,24.610730499960482,,24.596097300061956,24.610730499960482,25.610411199973896,25.610411199973896,25.610411199973896,25.610411199973896,25.610411199973896,26.610411599976942,26.610411599976942,27.045012000016868,v,1,0.423695599893108,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
